0,0,-8.33226e-06,0.000999871,-0,0.000999906
0,8.53333e-05,-8.51256e-06,0.00101424,-0,0.00101428
0,0.000170667,-8.6981e-06,0.00102893,-0,0.00102896
0,0.000256,-8.88907e-06,0.00104393,-0,0.00104397
0,0.000341333,-9.08567e-06,0.00105927,-0,0.00105931
0,0.000426667,-9.28812e-06,0.00107494,-0,0.00107499
0,0.000512,-9.49662e-06,0.00109097,-0,0.00109101
0,0.000597333,-9.71141e-06,0.00110736,-0,0.0011074
0,0.000682667,-9.93273e-06,0.00112412,-0,0.00112416
0,0.000768,-1.01608e-05,0.00114126,-0,0.00114131
0,0.000853333,-1.0396e-05,0.0011588,-0,0.00115885
0,0.000938667,-1.06384e-05,0.00117675,-0,0.0011768
0,0.001024,-1.08884e-05,0.00119511,-0,0.00119516
0,0.00110933,-1.11464e-05,0.00121391,-0,0.00121397
0,0.00119467,-1.14125e-05,0.00123316,-0,0.00123321
0,0.00128,-1.16872e-05,0.00125287,-0,0.00125292
0,0.00136533,-1.19708e-05,0.00127305,-0,0.00127311
0,0.00145067,-1.22636e-05,0.00129373,-0,0.00129379
0,0.001536,-1.25661e-05,0.00131491,-0,0.00131497
0,0.00162133,-1.28785e-05,0.00133662,-0,0.00133668
0,0.00170667,-1.32015e-05,0.00135887,-0,0.00135894
0,0.001792,-1.35353e-05,0.00138168,-0,0.00138175
0,0.00187733,-1.38804e-05,0.00140507,-0,0.00140514
0,0.00196267,-1.42374e-05,0.00142906,-0,0.00142913
0,0.002048,-1.46068e-05,0.00145367,-0,0.00145374
0,0.00213333,-1.4989e-05,0.00147892,-0,0.00147899
0,0.00221867,-1.53847e-05,0.00150483,-0,0.00150491
0,0.002304,-1.57945e-05,0.00153143,-0,0.00153151
0,0.00238933,-1.62189e-05,0.00155874,-0,0.00155883
0,0.00247467,-1.66586e-05,0.00158679,-0,0.00158688
0,0.00256,-1.71144e-05,0.0016156,-0,0.00161569
0,0.00264533,-1.7587e-05,0.00164521,-0,0.0016453
0,0.00273067,-1.80772e-05,0.00167563,-0,0.00167573
0,0.002816,-1.85857e-05,0.00170691,-0,0.00170701
0,0.00290133,-1.91135e-05,0.00173907,-0,0.00173918
0,0.00298667,-1.96614e-05,0.00177215,-0,0.00177226
0,0.003072,-2.02305e-05,0.00180618,-0,0.0018063
0,0.00315733,-2.08218e-05,0.0018412,-0,0.00184132
0,0.00324267,-2.14364e-05,0.00187725,-0,0.00187738
0,0.003328,-2.20753e-05,0.00191437,-0,0.0019145
0,0.00341333,-2.274e-05,0.0019526,-0,0.00195274
0,0.00349867,-2.34315e-05,0.00199199,-0,0.00199213
0,0.003584,-2.41514e-05,0.00203258,-0,0.00203273
0,0.00366933,-2.49011e-05,0.00207443,-0,0.00207458
0,0.00375467,-2.56821e-05,0.00211758,-0,0.00211773
0,0.00384,-2.64962e-05,0.00216209,-0,0.00216225
0,0.00392533,-2.7345e-05,0.00220802,-0,0.00220819
0,0.00401067,-2.82305e-05,0.00225543,-0,0.0022556
0,0.004096,-2.91546e-05,0.00230438,-0,0.00230456
0,0.00418133,-3.01195e-05,0.00235494,-0,0.00235513
0,0.00426667,-3.11274e-05,0.00240718,-0,0.00240739
0,0.004352,-3.21808e-05,0.00246119,-0,0.0024614
0,0.00443733,-3.32823e-05,0.00251703,-0,0.00251725
0,0.00452267,-3.44346e-05,0.00257479,-0,0.00257502
0,0.004608,-3.56407e-05,0.00263456,-0,0.0026348
0,0.00469333,-3.69039e-05,0.00269644,-0,0.00269669
0,0.00477867,-3.82274e-05,0.00276053,-0,0.00276079
0,0.004864,-3.9615e-05,0.00282692,-0,0.0028272
0,0.00494933,-4.10705e-05,0.00289575,-0,0.00289604
0,0.00503467,-4.25983e-05,0.00296711,-0,0.00296742
0,0.00512,-4.42027e-05,0.00304115,-0,0.00304147
0,0.00520533,-4.58887e-05,0.00311799,-0,0.00311833
0,0.00529067,-4.76616e-05,0.00319778,-0,0.00319813
0,0.005376,-4.9527e-05,0.00328067,-0,0.00328104
0,0.00546133,-5.14911e-05,0.00336683,-0,0.00336722
0,0.00554667,-5.35603e-05,0.00345643,-0,0.00345684
0,0.005632,-5.57419e-05,0.00354965,-0,0.00355008
0,0.00571733,-5.80436e-05,0.00364669,-0,0.00364715
0,0.00580267,-6.04738e-05,0.00374777,-0,0.00374825
0,0.005888,-6.30416e-05,0.0038531,-0,0.00385362
0,0.00597333,-6.57568e-05,0.00396295,-0,0.00396349
0,0.00605867,-6.86302e-05,0.00407755,-0,0.00407813
0,0.006144,-7.16735e-05,0.0041972,-0,0.00419781
0,0.00622933,-7.48994e-05,0.00432219,-0,0.00432284
0,0.00631467,-7.83218e-05,0.00445285,-0,0.00445354
0,0.0064,-8.19559e-05,0.00458953,-0,0.00459026
0,0.00648533,-8.58183e-05,0.00473259,-0,0.00473337
0,0.00657067,-8.99272e-05,0.00488245,-0,0.00488328
0,0.006656,-9.43027e-05,0.00503954,-0,0.00504042
0,0.00674133,-9.89667e-05,0.00520433,-0,0.00520527
0,0.00682667,-0.000103943,0.00537734,-0,0.00537834
0,0.006912,-0.000109259,0.00555912,-0,0.00556019
0,0.00699733,-0.000114944,0.00575027,-0,0.00575142
0,0.00708267,-0.00012103,0.00595145,-0,0.00595268
0,0.007168,-0.000127553,0.00616338,-0,0.0061647
0,0.00725333,-0.000134554,0.00638683,-0,0.00638825
0,0.00733867,-0.000142076,0.00662265,-0,0.00662417
0,0.007424,-0.00015017,0.00687177,-0,0.00687341
0,0.00750933,-0.00015889,0.00713522,-0,0.00713699
