540,1119436
540,1076010
540,1042096
540,1026014
540,1071815
540,1114914
540,1052991
540,1034646
540,1007549
540,993990
540,1088173
540,999733
540,989061
540,1151734
540,1099540
540,1040665
540,1058671
540,1085453
540,1051717
540,1031369
540,956828
540,985592
540,1117877
540,1013762
540,1039817
540,955204
540,1051837
540,1107020
540,1071792
540,1021269
540,1032047
540,970572
540,1024945
540,1129505
540,932139
540,1100443
540,1016167
540,1063794
540,1094492
540,1046898
540,1070963
540,993646
540,1131388
540,1084125
540,1025811
540,970784
540,1081546
540,1082224
540,1062424
540,1107412
540,943167
540,1063854
540,1051084
540,1091859
540,1060255
540,1125666
540,1066706
540,1094126
540,1097203
540,1011658
540,1096470
540,1058275
540,1063808
540,958807
540,1003324
540,1010232
540,1023247
540,980746
540,1032174
540,1065713
540,1000724
540,1053430
540,1080365
540,1089044
540,1062304
540,1030284
540,1094331
540,991921
540,1016042
540,1038539
540,1029135
540,974235
540,1162942
540,1071866
540,1027626
540,1078984
540,1074839
540,1125762
540,1009640
540,1045476
540,1020989
540,963546
540,1099255
540,993950
540,1151714
540,1106239
540,1008169
540,1170506
540,1077552
540,1020130
540,1098423
540,1111204
540,1074891
540,1028027
540,1165439
540,1036732
540,1048256
540,1032528
540,1086477
540,1102590
540,1045656
540,1079209
540,1059976
540,1039605
540,980878
540,972455
540,1075487
540,1048286
540,1040207
540,1073390
540,1099502
540,1075948
540,1107631
540,986820
540,978317
540,1085463
540,1079390
540,1028164
540,1037191
540,1055667
540,1030135
540,1094699
540,1103315
540,1032674
540,1032604
540,952871
540,1074588
540,1012821
540,1099871
540,1110118
540,1098504
540,1023102
540,1080539
540,961893
540,1008502
540,1002566
540,1009292
540,1033354
540,1122065
540,999724
540,1051936
540,1029853
540,1011420
540,1056321
540,1075982
540,1159026
540,1083339
540,1002220
540,1089323
540,1073397
540,1044560
540,1131087
540,1038947
540,988534
540,1089923
540,1041568
540,998598
540,1022225
540,1037126
540,1057929
540,1065034
540,965333
540,1136769
540,1095822
540,1047018
540,1005736
540,1007730
540,1028019
540,1015112
540,1078624
540,1097101
540,1099534
540,1080837
540,1038020
540,1027428
540,1052331
540,1067375
540,1051545
540,1006285
540,973151
540,1060505
540,1055739
540,1082609
540,974578
540,1032375
540,1024302
540,1026066
540,1062770
540,979746
540,1040999
540,1017059
540,1076811
540,1008756
540,972754
540,1054176
540,1011384
540,968000
540,995355
540,1082793
540,1117224
540,1036555
540,1089363
540,1004910
540,1042745
540,999008
540,1080788
540,1076709
540,1026271
540,960310
540,1067292
540,1122057
540,1061298
540,1004576
540,1092128
540,1035568
540,1029721
540,1096014
540,1068638
540,1003353
540,1042581
540,1036818
540,996059
540,1031022
540,1093068
540,1028409
540,1079171
540,1073660
540,1096280
540,1101960
540,1097743
540,1013678
540,907066
540,1024484
540,1092997
540,1037751
540,975174
540,1137621
540,996965
540,991091
540,1022642
540,972612
540,1048670
540,1101424
540,1003625
540,1041984
540,1014202
540,985140
540,1012654
540,1091461
540,1006585
540,1082072
540,1062018
540,1008615
540,997321
540,1096015
540,1118728
540,1046314
540,1068521
540,971034
540,1052350
540,1087776
540,1041527
540,1095447
540,1226391
540,1078975
540,1113631
540,977172
540,1043268
540,994771
540,1054674
540,1015967
540,1066368
540,979347
540,1069203
540,1086692
540,946630
540,1104332
540,1079799
540,1121449
540,957355
540,1044020
540,948380
540,1045317
540,1103075
540,1073353
540,1150075
540,1032015
540,1081871
540,1031272
540,1093568
540,1063196
540,1028335
540,1133971
540,1020962
540,1037715
540,1033271
540,1033206
540,1012024
540,1107374
540,1125395
540,1018871
540,1086343
540,1029348
540,1069590
540,1108789
540,1034742
540,1031199
540,963648
540,1076470
540,982195
540,1052248
540,1142788
540,1084877
540,991836
540,1084346
